Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
5.246217676E1,7.818548083E-1,9.837491989E0,8.829515576E-1
5.247206406E1,6.454638839E-1,9.569496155E0,7.366902828E-1
5.248195135E1,9.999007583E-1,9.238986969E0,2.341975123E-1
5.249183864E1,1.342074394E0,9.081061363E0,4.830510616E-1
5.250172598E1,1.351645708E0,8.978169441E0,7.319046259E-1
5.251161328E1,1.071685433E0,9.076275826E0,9.762716293E-1
5.252150057E1,7.866404653E-1,9.258130074E0,9.595218897E-1
5.253138786E1,8.009973764E-1,9.423533440E0,1.002592683E0
5.254127515E1,1.205683470E0,9.557532310E0,1.002592683E0
5.255116250E1,1.641476393E0,9.586245537E0,1.069591761E0
5.256104979E1,1.741974831E0,9.425926208E0,9.140582681E-1
5.257093708E1,1.667797327E0,9.291928291E0,6.385845542E-1
5.258082437E1,1.789831281E0,9.318249702E0,3.921238184E-1
5.259071166E1,1.991127491E0,9.526425362E0,3.107678294E-1
5.260059901E1,1.947757602E0,9.818349838E0,4.304089844E-1
5.261048630E1,1.478764415E0,9.864111900E0,6.194419861E-1
5.262037359E1,9.496514797E-1,9.722636223E0,1.031306505E0
5.263026088E1,7.196413875E-1,9.564710617E0,1.232303619E0
5.264014817E1,9.879366755E-1,9.413962364E0,1.088734269E0
5.265003546E1,1.648654819E0,9.428318977E0,8.614161611E-1
5.265992281E1,2.010270119E0,9.449854851E0,6.194419861E-1
5.266981010E1,2.158625126E0,9.500103951E0,4.375874400E-1
5.267969739E1,2.132304192E0,9.569496155E0,3.346960545E-1
5.268958468E1,1.921436548E0,9.677172661E0,2.147558331E-1
5.269947197E1,1.797009826E0,9.765707016E0,1.549352705E-1
5.270935932E1,1.679761529E0,9.744172096E0,6.400800496E-2
5.271924661E1,1.612762451E0,9.689137459E0,1.262213886E-1
5.272913390E1,1.581655741E0,9.449854851E0,1.525424421E-1
5.273902119E1,1.804188251E0,9.186345100E0,2.700898647E-1
5.274890848E1,1.971685886E0,8.987740517E0,4.878367186E-1
5.275879578E1,2.062912226E0,8.762815475E0,8.997012973E-1
5.276868312E1,2.074876308E0,8.626125336E0,1.141376376E0
5.277857041E1,1.909472466E0,8.736495018E0,1.004985452E0
5.278845770E1,1.801795483E0,8.978169441E0,7.175477147E-1
5.279834500E1,2.103590250E0,9.342177391E0,-1.226321608E-1
5.280823229E1,3.027518749E0,9.820742607E0,-9.296116233E-1
5.281811963E1,4.083351612E0,1.027807045E1,-1.750648856E0
5.282800692E1,4.741677284E0,1.083589745E1,-2.196012974E0
5.283789421E1,4.799404144E0,1.088375378E1,-2.176870346E0
5.284778150E1,4.492823601E0,1.032353401E1,-1.920539260E0
5.285766885E1,4.444967270E0,9.693922997E0,-1.568794370E0
5.286755614E1,4.547858715E0,9.287142754E0,-1.307677627E0
5.287744343E1,4.696213722E0,9.085846901E0,-1.243071318E0
5.288733072E1,4.679463863E0,8.954241753E0,-1.367498159E0
5.289721802E1,4.840082169E0,8.968598366E0,-1.185643673E0
5.290710536E1,5.306682587E0,9.037990570E0,-1.116251707E0
5.291699265E1,5.881258965E0,8.982954979E0,-1.034895778E0
5.292687994E1,6.369693756E0,8.753244400E0,-8.814560175E-1
5.293676723E1,6.561419010E0,8.374878883E0,-7.666005492E-1
5.294665453E1,6.523133755E0,7.967800140E0,-7.570292354E-1
5.295654187E1,6.348158360E0,7.618448257E0,-7.187440991E-1
5.296642916E1,6.075376511E0,7.369295597E0,-9.029914737E-1
5.297631645E1,5.785545826E0,7.271189690E0,-8.144569993E-1
5.298620375E1,5.634798050E0,7.338188648E0,-4.411766827E-1
5.299609104E1,5.708975792E0,7.666304588E0,-8.673982322E-2
5.300597838E1,5.905187130E0,8.113762856E0,2.437688112E-1
5.301586567E1,5.866901875E0,8.444271088E0,5.117649436E-1
5.302575296E1,5.383552074E0,8.697910309E0,6.122635007E-1
5.303564026E1,5.072185993E0,8.987740517E0,5.811567903E-1
5.304552755E1,5.249254704E0,9.262915611E0,4.112663865E-1
5.305541489E1,5.811867237E0,9.368498802E0,1.070788130E-1
5.306530218E1,6.460621357E0,9.255737305E0,-2.733799815E-1
5.307518947E1,6.700202465E0,8.796315193E0,-4.818546474E-1
5.308507677E1,6.609275341E0,8.171489716E0,-4.914259613E-1
5.309496411E1,6.386443615E0,7.608876705E0,-2.207378894E-1
5.310485140E1,6.221338749E0,7.043871880E0,-3.092723191E-1
5.311473869E1,6.307480335E0,6.584150791E0,-4.842474759E-1
5.312462598E1,6.480062962E0,6.291927338E0,-3.885345757E-1
5.313451333E1,6.484848499E0,6.153143406E0,-6.520441920E-2
5.314440062E1,6.206982136E0,6.191428661E0,2.413759828E-1
5.315428791E1,5.658726215E0,6.363711834E0,4.710869491E-1
5.316417520E1,5.292325497E0,6.507580280E0,6.768696904E-1
5.317406255E1,5.594120026E0,6.720541477E0,5.117649436E-1
5.318394984E1,6.242874146E0,7.232904434E0,1.094716340E-1
5.319383713E1,6.724130630E0,7.764410496E0,-2.039881349E-1
5.320372442E1,6.872485638E0,8.188239098E0,-4.268197417E-1
5.321361176E1,6.874878407E0,8.626125336E0,-5.847460628E-1
5.322349906E1,6.415157318E0,8.868100166E0,-5.560321808E-1
5.323338635E1,5.646762371E0,8.887242317E0,-5.081757307E-1
5.324327364E1,5.151148796E0,8.827422142E0,-4.411766827E-1
5.325316093E1,4.794618607E0,8.664410591E0,-2.039881349E-1
5.326304828E1,4.736891747E0,8.520841599E0,-1.034895778E-1
5.327293557E1,4.816154003E0,8.638090134E0,-2.781656384E-1
5.328282286E1,4.811367989E0,8.760422707E0,-3.909274042E-1
5.329271020E1,4.792225361E0,8.868100166E0,-4.292125702E-1
5.330259750E1,4.648356915E0,9.026025772E0,-4.555336237E-1
5.331248479E1,4.232006073E0,9.081061363E0,-2.925225794E-1
5.332237208E1,3.637987614E0,8.968598366E0,-2.213360928E-2
5.333225942E1,3.147459030E0,9.033205032E0,2.333002165E-2
5.334214671E1,2.749951363E0,9.148059845E0,1.357926875E-1
