"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.876896475E0,-4.036839008E-1,-1.779651642E-1,-9.166944027E-2
1.886783559E0,-4.661608934E-1,-3.292293549E-1,-1.707267761E-1
1.896670694E0,-2.561218739E-1,-5.206422806E-1,-3.800814152E-1
1.906557777E0,8.186912537E-2,-6.594686508E-1,-4.377332926E-1
1.916444913E0,5.561338663E-1,-7.707128525E-1,-5.482267737E-1
1.926331996E0,9.501690865E-1,-7.289609909E-1,-7.786482573E-1
1.936219079E0,1.138618708E0,-6.138305664E-1,-8.165186048E-1
1.946106215E0,1.106794357E0,-6.116151810E-1,-6.620033979E-1
1.955993298E0,8.793308735E-1,-5.761690140E-1,-5.658010840E-1
1.965880434E0,5.564510822E-1,-5.664110184E-1,-4.992169738E-1
1.975767517E0,2.215240002E-1,-6.169290543E-1,-6.837084293E-1
1.985654600E0,-7.954931259E-2,-5.956497192E-1,-8.201687336E-1
1.995541736E0,-2.658483982E-1,-3.955841064E-1,-7.429394126E-1
2.005428819E0,-2.551486492E-1,-2.300710678E-1,-5.661972165E-1
2.015315954E0,-1.908872128E-1,-2.401981354E-1,-2.874914706E-1
2.025203038E0,-7.504844666E-2,-2.828502655E-1,-4.837813973E-2
2.035090173E0,1.328539848E-1,-3.109970093E-1,-2.498090267E-2
2.044977257E0,4.050774574E-1,-2.563037872E-1,1.953134239E-1
2.054864392E0,5.304524899E-1,-1.428508759E-1,-4.175305367E-3
2.064751475E0,6.551377773E-1,-1.256942749E-3,3.370571136E-2
2.074638559E0,8.237071037E-1,4.786777496E-2,2.162151337E-1
2.084525694E0,7.517163754E-1,-9.398651123E-2,2.475101650E-1
2.094412777E0,6.180775166E-1,-3.349676132E-1,4.011403024E-1
2.104299913E0,3.587172031E-1,-4.480447769E-1,5.788059831E-1
2.114186996E0,-4.066228867E-2,-4.381427765E-1,4.476402998E-1
2.124074132E0,-4.578092098E-1,-3.319749832E-1,4.248279929E-1
2.133961215E0,-5.795476437E-1,-1.360483170E-1,2.768629789E-1
2.143848350E0,-4.643652439E-1,6.859207153E-2,3.858399391E-1
2.153735434E0,-3.364291191E-1,2.326602936E-1,3.621490896E-1
2.163622517E0,-1.971685886E-1,5.486001968E-1,4.181049466E-1
2.173509652E0,-1.114628315E-1,9.704923630E-1,3.083018064E-1
2.183396736E0,-1.929202080E-1,9.028005600E-1,1.932911426E-1
2.193283871E0,-3.000547886E-1,5.488729477E-1,1.679388285E-1
2.203170954E0,-3.054704666E-1,2.872257233E-1,-1.904867589E-1
2.213058090E0,-1.666760445E-1,2.032327652E-1,-8.862431645E-1
2.222945173E0,1.664047241E-1,1.860389709E-1,-1.267508268E0
2.232832309E0,4.903464317E-1,2.089948654E-1,-1.442807913E0
2.242719392E0,5.184350014E-1,2.961082458E-1,-1.334301114E0
2.252606475E0,1.811122894E-1,4.290323257E-1,-8.557404876E-1
2.262493611E0,-4.965767860E-1,4.280176163E-1,-2.417139262E-1
2.272380694E0,-9.680778980E-1,4.633808136E-1,1.704690456E-1
2.282267829E0,-8.039021492E-1,7.045326233E-1,-2.823171914E-1
2.292154913E0,-2.087593079E-2,1.062892914E0,-1.393382907E0
2.302042048E0,9.741816521E-1,1.446200371E0,-2.275342464E0
2.311929132E0,1.598772049E0,1.665847778E0,-2.524959326E0
2.321816267E0,1.369912624E0,1.411048889E0,-2.294565678E0
2.331703350E0,8.669743538E-1,8.684492111E-1,-1.856980920E0
2.341590486E0,7.700872421E-1,4.293661118E-1,-1.668964386E0
2.351477569E0,9.114346504E-1,3.397846222E-1,-1.373916388E0
2.361364652E0,8.780035973E-1,3.707399368E-1,-8.203537464E-1
2.371251788E0,5.703067780E-1,5.711717606E-1,3.189799190E-1
2.381138871E0,4.664230347E-2,7.703208923E-1,1.521651030E0
2.391026007E0,-5.463547707E-1,8.750181198E-1,2.363241911E0
2.400913090E0,-6.837754250E-1,1.194950104E0,3.266082764E0
2.410800225E0,-4.602155685E-1,1.724569321E0,3.187706232E0
2.420687309E0,1.358184814E-1,2.295379639E0,2.804605484E0
2.430574444E0,7.456765175E-1,2.712442398E0,2.229886055E0
2.440461527E0,9.007334709E-1,2.664443970E0,1.947833419E0
2.450348663E0,7.076425552E-1,2.276569366E0,1.132747889E0
2.460235746E0,9.302339554E-1,2.077832222E0,5.766534805E-1
2.470122882E0,7.968583107E-1,1.792634010E0,-4.066347480E-1
2.480009965E0,4.743280411E-1,1.505808830E0,-9.283121228E-1
2.489897048E0,1.172089577E-1,1.046410561E0,-1.237997770E0
2.499784184E0,-2.430291176E-1,6.747980118E-1,-2.002014160E0
2.509671267E0,-5.472745895E-1,6.080245972E-1,-2.377398968E0
2.519558402E0,-1.318838596E0,3.488407135E-1,-1.830335736E0
2.529445486E0,-1.779747486E0,6.571197510E-2,-1.598916888E0
2.539332621E0,-1.810655594E0,-1.660165787E-1,-1.068325400E0
2.549219704E0,-1.510426998E0,-4.391498566E-1,-6.578849554E-1
2.559106840E0,-9.920697212E-1,-6.407070160E-1,-7.080523372E-1
2.568993923E0,-5.144991875E-1,-7.894330025E-1,-2.730130255E-1
2.578881059E0,-2.367033958E-1,-9.841070175E-1,3.841116130E-1
2.588768142E0,1.726818085E-2,-9.824881554E-1,6.380444765E-1
2.598655277E0,4.035000801E-1,-9.368343353E-1,7.331032753E-1
2.608542361E0,7.669005394E-1,-9.746475220E-1,7.538133264E-1
2.618429496E0,9.907321930E-1,-1.238397121E0,8.814462423E-1
2.628316579E0,1.054646015E0,-1.610843658E0,7.132122517E-1
2.638203663E0,1.230640888E0,-1.775869370E0,4.190343618E-1
2.648090798E0,1.583667755E0,-1.493031502E0,2.398613840E-1
2.657977934E0,2.034538269E0,-1.016530037E0,3.500338197E-1
2.667865017E0,1.971566677E0,-7.355537415E-1,8.748093992E-2
2.677752100E0,1.472640514E0,-6.681394577E-1,-1.842336953E-1
2.687639236E0,1.027939320E0,-6.449918747E-1,-2.590344846E-1
2.697526319E0,7.158808708E-1,-5.703258514E-1,-4.619715512E-1
2.707413454E0,-8.977961540E-2,-5.088386536E-1,-4.165867567E-1
2.717300538E0,-9.809010029E-1,-4.278125763E-1,-8.911564946E-2
2.727187673E0,-1.038790703E0,-4.051980972E-1,1.349612474E-1
2.737074757E0,-4.660921097E-1,-3.989744186E-1,-2.071557939E-1
2.746961892E0,2.355093956E-1,-4.721479416E-1,-4.884476066E-1
2.756848975E0,7.948806286E-1,-7.824583054E-1,-6.161727905E-1
2.766736111E0,1.239201784E0,-1.031193733E0,-8.653355241E-1
2.776623194E0,1.715065241E0,-1.190082550E0,-9.758248329E-1
2.786510329E0,2.103564739E0,-1.399225235E0,-1.028253555E0
2.796397413E0,2.111925602E0,-1.539191246E0,-9.354268312E-1
2.806284548E0,1.361471057E0,-1.318278313E0,-1.002662182E0
2.816171632E0,1.366730332E-1,-9.464178085E-1,-6.586846709E-1
2.826058767E0,-6.576293111E-1,-6.975088120E-1,-1.239728928E-2
2.835945850E0,-1.035182953E0,-6.334142685E-1,3.728097677E-1
2.845832986E0,-8.167757392E-1,-7.679233551E-1,4.834120274E-1
2.855720069E0,-1.125410199E-2,-9.820480347E-1,2.092570066E-1
2.865607204E0,1.175471783E0,-1.146003723E0,-4.727241993E-1
2.875494288E0,2.119894981E0,-1.199650764E0,-6.760942936E-1
2.885381423E0,2.539759636E0,-1.012181282E0,-4.314359426E-1
2.895268507E0,2.323858023E0,-8.545675278E-1,-1.171840429E-1
2.905155642E0,1.830914974E0,-7.183685303E-1,1.829848289E-1
2.915042725E0,1.195339203E0,-7.604417801E-1,4.067506790E-1
2.924929861E0,5.030555725E-1,-9.613265991E-1,7.190654278E-1
2.934816944E0,-1.543891430E-2,-1.239096642E0,7.064127922E-1
2.944704079E0,-2.785148621E-1,-1.416170597E0,8.000915051E-1
2.954591163E0,-9.653329849E-2,-1.526614189E0,5.043184757E-1
2.964478298E0,5.080071688E-1,-1.509715080E0,-4.547142982E-2
2.974365382E0,1.172419190E0,-1.261572838E0,-3.296487331E-1
